"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2011",172784.974,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",184486.807,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",205237.898,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",186970.186,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",166421.339,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",179479.287,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",214549.053,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",221803.297,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",229537.183,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",274471.714,
"DEU","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",217.901,
"DEU","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",194.256,
"DEU","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",181.818,
"DEU","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",335.196,
"DEU","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",317.822,
"DEU","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",289.673,
"DEU","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",266.232,
"DEU","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",55188.25,
"DEU","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",43490.276,
"DEU","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",42703.321,
"DEU","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",40651.418,
"DEU","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",61803.79,
"DEU","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",59264.942,
"DEU","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",50296.563,
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",339.908,
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",303.55,
