,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.3 FDI International investment positions in the United Kingdom analysed by area & main country and by industrial activity of UK affiliates, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,£ million,,,,,,,,,,,,,,,,,,,
,, ,, ,"Agriculture, forest & fishing",Mining & quarrying,"Food products, beverages & tobacco products",Textiles & wood activities,"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",Metal and machinery products,"Computer, electronic and optical products",Transport equipment,Other manufacturing,"Electricity, gas, water and waste",Construction,"Retail & wholesale trade, repair of motor vehicles & motor cycles,",Transportation & storage,Information and communication,Financial services,"Professional, scientific & technical services",Administrative and support service activities,Other services,Total,,,,,,,,,,,,,,,,,,,
,, ,16,2020,..,"2,004","2,378",..,"1,453","7,703","1,125","1,126","16,900","5,480","2,442","11,131","1,705","13,630","25,095","11,185","3,258","6,938","114,105",,,,,,,,,,,,,,,,,,,
,,MALTA,58,2017,-,..,-,-,..,-,..,-,..,..,10,21,..,24,31,..,41,72,"1,014",,,,,,,,,,,,,,,,,,,
,, ,59,2018,..,-,-,..,..,-,..,-,14,..,13,48,12,69,17,620,71,79,"1,115",,,,,,,,,,,,,,,,,,,
,,,,2019,..,-,-,..,..,-,..,-,..,..,10,18,10,40,27,590,46,81,972,,,,,,,,,,,,,,,,,,,
,, ,60,2020,..,..,-,..,..,-,..,..,..,..,16,39,40,52,113,932,22,11,"1,413",,,,,,,,,,,,,,,,,,,
,,NETHERLANDS,58,2017,152,..,..,444,"10,238","10,797",..,"10,721","1,494","1,830","1,217","11,475","6,406","8,025","17,752","6,681","7,081","1,841","166,323",,,,,,,,,,,,,,,,,,,
,, ,59,2018,185,..,"19,978",430,"10,226","5,841",..,"7,242","1,813","1,981",965,"11,549","3,446","8,660","14,363","8,707","7,757","1,331","141,842",,,,,,,,,,,,,,,,,,,
,,,,2019,529,..,"14,054",398,"8,632","5,214",..,"12,732","1,747","1,181",989,"13,546","3,201","10,937","30,853","8,228","7,527","2,857","168,405",,,,,,,,,,,,,,,,,,,
,, ,60,2020,283,..,"9,922",461,"8,688","5,608",..,"12,698","1,909","5,786",890,"14,424","2,928","10,091","33,085","8,269","8,199","1,884","200,310",,,,,,,,,,,,,,,,,,,
,,POLAND,58,2017,-,-,-,-,-,..,-,..,55,..,1,11,14,3,2,4,3,3,176,,,,,,,,,,,,,,,,,,,
,, ,59,2018,-,-,-,-,-,..,-,..,21,-,3,7,11,21,-,6,4,4,219,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,-,-,-,162,-,-,18,-,6,10,..,10,5,5,..,2,234,,,,,,,,,,,,,,,,,,,
,, ,60,2020,..,-,..,..,-,..,..,..,23,-,17,57,28,13,25,11,3,4,292,,,,,,,,,,,,,,,,,,,
,,PORTUGAL,58,2017,..,-,-,..,..,6,..,-,17,-,18,44,13,9,20,8,29,3,176,,,,,,,,,,,,,,,,,,,
,, ,59,2018,..,-,-,..,..,3,-,-,..,-,113,27,16,11,..,8,63,..,263,,,,,,,,,,,,,,,,,,,
,,,,2019,..,-,-,..,..,2,-,-,5,-,5,28,15,11,7,10,5,1,98,,,,,,,,,,,,,,,,,,,
,, ,60,2020,..,-,-,..,..,5,-,-,16,-,18,56,19,21,41,13,12,3,272,,,,,,,,,,,,,,,,,,,
,,ROMANIA,58,2017,..,-,..,-,-,-,-,-,-,-,..,..,..,..,-,..,-,-,7,,,,,,,,,,,,,,,,,,,
,, ,59,2018,..,-,..,-,-,-,-,-,-,-,..,..,..,1,-,..,-,-,3,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,..,..,-,-,-,-,-,-,..,..,..,2,-,-,..,..,44,,,,,,,,,,,,,,,,,,,
,, ,60,2020,-,-,..,..,-,-,-,-,-,-,..,..,..,4,-,1,15,..,27,,,,,,,,,,,,,,,,,,,
,,SLOVAKIA,58,2017,-,-,-,-,-,..,-,-,..,-,-,8,-,..,-,-,-,..,..,,,,,,,,,,,,,,,,,,,
,, ,59,2018,..,-,-,-,-,..,-,-,-,-,-,8,-,..,-,-,-,..,..,,,,,,,,,,,,,,,,,,,
,,,,2019,..,-,-,-,-,..,-,-,-,-,-,7,-,..,-,-,-,..,12,,,,,,,,,,,,,,,,,,,
,, ,60,2020,..,-,-,-,-,-,-,-,-,..,-,9,-,7,9,..,-,..,..,,,,,,,,,,,,,,,,,,,
